gene,module,n
PDIA2,red,166
RHOXF2B,red,166
ITGB8,turquoise,1278
APOA2,blue,703
PDZK1P1,grey,1238
DIO2,grey,1238
SYT3,turquoise,1278
LOC339535,red,166
BCAS1,grey,1238
PCDHAC2,turquoise,1278
APOC1P1,blue,703
CTSL2,yellow,513
COL11A1,turquoise,1278
CYP4F2,blue,703
MT1A,grey,1238
C2CD4A,turquoise,1278
DPEP1,turquoise,1278
THBS4,grey,1238
KRT80,turquoise,1278
TUBBP5,turquoise,1278
PCLO,yellow,513
CELF5,grey,1238
REG1B,grey,1238
HPR,blue,703
OCA2,turquoise,1278
SNAP25,turquoise,1278
ANKRD35,grey,1238
SLC29A4,yellow,513
FAM134B,blue,703
ALDH1L1,blue,703
SLITRK3,grey,1238
RAB3C,grey,1238
ARNT2,turquoise,1278
GDA,blue,703
SLC15A1,grey,1238
GPC5,yellow,513
ITIH5,turquoise,1278
GHRHR,grey,1238
LAMA2,turquoise,1278
NEBL,turquoise,1278
DNMT3L,blue,703
PNMA3,yellow,513
TBX4,black,147
GATA5,turquoise,1278
FERMT1,black,147
ABCA8,blue,703
UGT2B10,blue,703
TRIM31,yellow,513
SLC5A11,grey,1238
GPLD1,blue,703
CNKSR1,brown,642
TFF1,turquoise,1278
VSIG1,brown,642
GAGE2B,red,166
SLC7A10,yellow,513
GLDN,yellow,513
ACTL8,grey,1238
VLDLR,turquoise,1278
MBL2,blue,703
TMEM82,blue,703
TESC,turquoise,1278
GREM1,turquoise,1278
MPPED1,blue,703
DNER,turquoise,1278
PRKY,grey,1238
GUCA2B,grey,1238
TFF2,grey,1238
TMEM163,turquoise,1278
SLC5A1,turquoise,1278
RHCG,grey,1238
CCDC64B,turquoise,1278
SERPINA11,blue,703
IL20RA,yellow,513
SORCS2,turquoise,1278
COL10A1,turquoise,1278
CDS1,turquoise,1278
HKDC1,brown,642
CIDEC,grey,1238
EFNA5,brown,642
ILDR1,yellow,513
CABYR,grey,1238
DGCR5,grey,1238
SAMD5,turquoise,1278
HFE2,blue,703
ANKRD1,turquoise,1278
FBN3,grey,1238
MASP2,blue,703
ITGBL1,turquoise,1278
PON1,blue,703
PCDHA1,grey,1238
RXRG,black,147
TNFRSF19,black,147
PTPRD,grey,1238
SLC9A3,turquoise,1278
AR,blue,703
PLEK2,grey,1238
EPPK1,yellow,513
MRAP2,grey,1238
PLCH2,blue,703
GGT6,turquoise,1278
CUX2,blue,703
KRT17,turquoise,1278
SOHLH2,red,166
KCNK9,yellow,513
VSIG2,grey,1238
ALOX15B,brown,642
C1orf116,turquoise,1278
CBLN4,black,147
tAKR,blue,703
HAND2,turquoise,1278
EVC,turquoise,1278
VCX3A,red,166
SHD,blue,703
LYPD1,grey,1238
LHFPL4,yellow,513
TMPRSS15,red,166
DMBT1,yellow,513
CDH22,black,147
PRSS12,grey,1238
LAD1,grey,1238
GPR37,green,313
KRT5,turquoise,1278
FCN2,grey,1238
PART1,black,147
DEFB132,blue,703
APCDD1,turquoise,1278
DYNC1I1,black,147
SLC39A4,grey,1238
SPOCK1,turquoise,1278
ANXA8L2,turquoise,1278
TMC4,turquoise,1278
KCNH2,turquoise,1278
MFAP2,turquoise,1278
COL7A1,black,147
CYP19A1,yellow,513
SLC22A10,blue,703
CA5A,blue,703
GRAMD1B,turquoise,1278
CAPN13,grey,1238
MRAP,grey,1238
POPDC3,yellow,513
APOA5,blue,703
CYP2B6,blue,703
SHBG,blue,703
TFDP3,red,166
AKR7A3,blue,703
PLA2G2D,brown,642
BCHE,blue,703
LOC55908,blue,703
MT1X,grey,1238
MYEOV,grey,1238
LMTK3,turquoise,1278
APOC3,blue,703
ADRA1A,blue,703
AGXT,blue,703
ACSM5,blue,703
PRR15,grey,1238
IFI27,grey,1238
FOLR1,yellow,513
THBS2,turquoise,1278
C15orf48,yellow,513
CYP3A43,blue,703
FAM178B,red,166
NEB,yellow,513
SPATA21,grey,1238
KIAA1199,turquoise,1278
SLC4A3,turquoise,1278
PTPRS,turquoise,1278
CYP4A11,blue,703
FA2H,turquoise,1278
KIAA1244,turquoise,1278
