gene,module,n
TMEM119,turquoise,1278
UGT2B4,blue,703
TYRP1,red,166
POU2AF1,brown,642
SV2B,grey,1238
TLX1,blue,703
WBSCR17,turquoise,1278
GREB1,black,147
DPP10,turquoise,1278
PDZRN3,turquoise,1278
PRND,turquoise,1278
PNMA6A,grey,1238
C9orf71,grey,1238
SGCA,turquoise,1278
CACNA1E,grey,1238
NCRNA00230B,grey,1238
TMEM27,blue,703
PDCD1,brown,642
BARX1,grey,1238
KRT12,red,166
CSMD2,turquoise,1278
CHGB,grey,1238
KMO,blue,703
ALPL,blue,703
FAM9B,grey,1238
GABRA3,red,166
CDH12,grey,1238
SPEG,turquoise,1278
LEPR,blue,703
ISM1,green,313
GNAZ,yellow,513
CDCP1,turquoise,1278
DNAH12,grey,1238
KIAA1211,turquoise,1278
BIK,black,147
C10orf81,yellow,513
LRFN5,red,166
C14orf132,turquoise,1278
DLK2,yellow,513
HMGCS2,blue,703
PTK7,turquoise,1278
EPHB6,turquoise,1278
AREG,brown,642
CNTNAP3,black,147
BCL2L14,brown,642
HOXC6,turquoise,1278
GLTPD2,blue,703
SLCO2A1,turquoise,1278
HOXA3,black,147
ANGPTL3,blue,703
LPAR1,turquoise,1278
